customer_id,first_name,last_name,email,country,city,segment,registration_date
CUST-00001,FirstName_0,LastName_0,user0@example.com,United States,London,Corporate,2021-10-16
CUST-00002,FirstName_1,LastName_1,user1@example.com,Australia,Manchester,Consumer,2020-04-24
CUST-00003,FirstName_2,LastName_2,user2@example.com,United Kingdom,Chicago,Home Office,2020-01-26
CUST-00004,FirstName_3,LastName_3,user3@example.com,Canada,London,Corporate,2022-01-29
CUST-00005,FirstName_4,LastName_4,user4@example.com,United States,Toronto,Consumer,2020-10-08
CUST-00006,FirstName_5,LastName_5,user5@example.com,United States,Berlin,Consumer,2020-09-07
CUST-00007,FirstName_6,LastName_6,user6@example.com,United States,Sydney,Consumer,2020-08-16
CUST-00008,FirstName_7,LastName_7,user7@example.com,Germany,Sydney,Consumer,2020-05-22
CUST-00009,FirstName_8,LastName_8,user8@example.com,United Kingdom,Chicago,Consumer,2022-01-24
CUST-00010,FirstName_9,LastName_9,user9@example.com,United Kingdom,Sydney,Corporate,2020-04-14
CUST-00011,FirstName_10,LastName_10,user10@example.com,United States,London,Home Office,2021-11-23
CUST-00012,FirstName_11,LastName_11,user11@example.com,Australia,Melbourne,Consumer,2022-01-28
CUST-00013,FirstName_12,LastName_12,user12@example.com,Germany,Sydney,Consumer,2022-07-02
CUST-00014,FirstName_13,LastName_13,user13@example.com,United States,Chicago,Consumer,2021-07-12
CUST-00015,FirstName_14,LastName_14,user14@example.com,United States,Sydney,Consumer,2020-03-30
CUST-00016,FirstName_15,LastName_15,user15@example.com,United States,Sydney,Consumer,2021-08-27
CUST-00017,FirstName_16,LastName_16,user16@example.com,United States,Munich,Corporate,2021-03-08
CUST-00018,FirstName_17,LastName_17,user17@example.com,Canada,London,Home Office,2020-02-02
CUST-00019,FirstName_18,LastName_18,user18@example.com,Canada,Toronto,Consumer,2020-01-31
CUST-00020,FirstName_19,LastName_19,user19@example.com,United States,New York,Corporate,2020-04-05
CUST-00021,FirstName_20,LastName_20,user20@example.com,United Kingdom,Melbourne,Home Office,2020-08-11
CUST-00022,FirstName_21,LastName_21,user21@example.com,United States,Sydney,Consumer,2020-08-26
CUST-00023,FirstName_22,LastName_22,user22@example.com,United States,Manchester,Corporate,2021-06-01
CUST-00024,FirstName_23,LastName_23,user23@example.com,United States,Sydney,Corporate,2021-09-08
CUST-00025,FirstName_24,LastName_24,user24@example.com,Canada,Munich,Consumer,2020-01-28
CUST-00026,FirstName_25,LastName_25,user25@example.com,Germany,Toronto,Consumer,2021-07-28
CUST-00027,FirstName_26,LastName_26,user26@example.com,United States,Manchester,Corporate,2020-07-22
CUST-00028,FirstName_27,LastName_27,user27@example.com,Canada,Melbourne,Corporate,2022-01-03
CUST-00029,FirstName_28,LastName_28,user28@example.com,Canada,Manchester,Consumer,2021-10-27
CUST-00030,FirstName_29,LastName_29,user29@example.com,United States,London,Consumer,2021-12-19
CUST-00031,FirstName_30,LastName_30,user30@example.com,United Kingdom,Chicago,Consumer,2021-07-12
CUST-00032,FirstName_31,LastName_31,user31@example.com,United States,Chicago,Home Office,2021-03-05
CUST-00033,FirstName_32,LastName_32,user32@example.com,United States,Melbourne,Consumer,2020-08-13
CUST-00034,FirstName_33,LastName_33,user33@example.com,Australia,Toronto,Corporate,2021-04-04
CUST-00035,FirstName_34,LastName_34,user34@example.com,Australia,Chicago,Consumer,2021-08-26
CUST-00036,FirstName_35,LastName_35,user35@example.com,Germany,Los Angeles,Consumer,2020-10-11
CUST-00037,FirstName_36,LastName_36,user36@example.com,United States,Munich,Consumer,2022-04-08
CUST-00038,FirstName_37,LastName_37,user37@example.com,United States,Melbourne,Consumer,2022-06-09
CUST-00039,FirstName_38,LastName_38,user38@example.com,United Kingdom,Melbourne,Consumer,2020-01-07
CUST-00040,FirstName_39,LastName_39,user39@example.com,Canada,New York,Consumer,2022-02-16
CUST-00041,FirstName_40,LastName_40,user40@example.com,United States,New York,Consumer,2022-04-05
CUST-00042,FirstName_41,LastName_41,user41@example.com,Canada,London,Consumer,2020-06-12
CUST-00043,FirstName_42,LastName_42,user42@example.com,United States,London,Consumer,2021-12-15
CUST-00044,FirstName_43,LastName_43,user43@example.com,Australia,New York,Consumer,2021-03-08
CUST-00045,FirstName_44,LastName_44,user44@example.com,United States,Chicago,Corporate,2020-12-14
CUST-00046,FirstName_45,LastName_45,user45@example.com,United Kingdom,Berlin,Corporate,2020-10-11
CUST-00047,FirstName_46,LastName_46,user46@example.com,United States,Melbourne,Home Office,2020-06-08
CUST-00048,FirstName_47,LastName_47,user47@example.com,Canada,Los Angeles,Consumer,2020-08-08
CUST-00049,FirstName_48,LastName_48,user48@example.com,Canada,Melbourne,Consumer,2022-09-07
CUST-00050,FirstName_49,LastName_49,user49@example.com,United States,Sydney,Consumer,2022-02-20
CUST-00051,FirstName_50,LastName_50,user50@example.com,Australia,Toronto,Consumer,2020-12-10
CUST-00052,FirstName_51,LastName_51,user51@example.com,Germany,Munich,Corporate,2020-04-14
CUST-00053,FirstName_52,LastName_52,user52@example.com,Australia,Berlin,Consumer,2020-04-04
CUST-00054,FirstName_53,LastName_53,user53@example.com,Germany,Los Angeles,Consumer,2021-01-24
CUST-00055,FirstName_54,LastName_54,user54@example.com,Canada,Sydney,Consumer,2020-04-09
CUST-00056,FirstName_55,LastName_55,user55@example.com,Australia,London,Home Office,2021-01-02
CUST-00057,FirstName_56,LastName_56,user56@example.com,United States,Los Angeles,Home Office,2022-05-17
CUST-00058,FirstName_57,LastName_57,user57@example.com,United States,New York,Consumer,2020-12-18
CUST-00059,FirstName_58,LastName_58,user58@example.com,United States,Melbourne,Consumer,2021-09-10
CUST-00060,FirstName_59,LastName_59,user59@example.com,United States,Los Angeles,Corporate,2020-09-27
CUST-00061,FirstName_60,LastName_60,user60@example.com,United States,Toronto,Home Office,2022-04-06
CUST-00062,FirstName_61,LastName_61,user61@example.com,United States,Manchester,Consumer,2020-02-14
CUST-00063,FirstName_62,LastName_62,user62@example.com,Germany,London,Consumer,2022-01-17
CUST-00064,FirstName_63,LastName_63,user63@example.com,United States,Munich,Home Office,2021-04-15
CUST-00065,FirstName_64,LastName_64,user64@example.com,United States,Munich,Corporate,2021-07-03
CUST-00066,FirstName_65,LastName_65,user65@example.com,Canada,Los Angeles,Consumer,2020-05-07
CUST-00067,FirstName_66,LastName_66,user66@example.com,United States,Manchester,Consumer,2022-09-23
CUST-00068,FirstName_67,LastName_67,user67@example.com,Germany,Melbourne,Home Office,2022-08-02
CUST-00069,FirstName_68,LastName_68,user68@example.com,United States,Sydney,Corporate,2021-01-22
CUST-00070,FirstName_69,LastName_69,user69@example.com,Australia,Berlin,Corporate,2020-03-21
CUST-00071,FirstName_70,LastName_70,user70@example.com,Germany,Melbourne,Corporate,2021-07-19
CUST-00072,FirstName_71,LastName_71,user71@example.com,United States,Sydney,Consumer,2020-10-27
CUST-00073,FirstName_72,LastName_72,user72@example.com,United States,Berlin,Corporate,2022-04-29
CUST-00074,FirstName_73,LastName_73,user73@example.com,Germany,Manchester,Consumer,2021-10-05
CUST-00075,FirstName_74,LastName_74,user74@example.com,United Kingdom,Berlin,Home Office,2021-09-25
CUST-00076,FirstName_75,LastName_75,user75@example.com,United Kingdom,Melbourne,Consumer,2022-06-25
CUST-00077,FirstName_76,LastName_76,user76@example.com,Germany,Toronto,Home Office,2022-06-01
CUST-00078,FirstName_77,LastName_77,user77@example.com,United States,Los Angeles,Consumer,2021-01-05
